Nome,Data,Latitude,Longitude,Stato,Categoria,Link_thumbnail,id,Thumbnail,,
porta_d'oro,2023:08:23,45.46238197,9.190196,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/67.jpg,67,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/67.jpg?raw=true"">",,
ristorante_grande_italia,2023:08:23,45.46624342,9.189935695,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/68.jpg,68,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/68.jpg?raw=true"">",,
rotonda_del_pellegrini,2021:08:10,45.4629154,9.1925853,non attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/69.jpg,69,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/69.jpg?raw=true"">",,
sala_puccini,2023:08:22,45.46479956,9.20336426,attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/70.jpg,70,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/70.jpg?raw=true"">",,
sala_verdi,2023:08:22,45.46484598,9.20341051,attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/71.jpg,71,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/71.jpg?raw=true"">",,
salone_degli_affreschi,2023:08:22,45.460065,9.201985972,attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/72.jpg,72,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/72.jpg?raw=true"">",,
sans_souci,2023:08:23,45.46259897,9.190334,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/73.jpg,73,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/73.jpg?raw=true"">",,
santa_tecla,2023:08:23,45.462696,9.192681,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/74.jpg,74,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/74.jpg?raw=true"">",,
sferisterio_diana,2023:08:23,45.47407918,9.206675846,non attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/75.jpg,75,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/75.jpg?raw=true"">",,
shangai,2023:08:22,45.452215,9.182482,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/76.jpg,76,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/76.jpg?raw=true"">",,
